p,X,Y,Z,VX,VY,VZ,pitch,yaw,roll,bisBridgeOut
Player State106,-6,-7,14,0,0,0,0,0,0,FALSE
Player State107,-6,-7,14,0,0,0,0,0,0,FALSE
Player State108,-6,-7,14,0,0,0,0,0,0,FALSE
Player State109,-6,-7,14,0,0,0,0,0,0,FALSE
Player State110,-6,-7,14,0,0,0,0,0,0,FALSE
Player State111,-6,-7,14,0,0,0,0,0,0,FALSE
Player State112,-6,-7,14,0,0,0,0,0,0,FALSE
Player State113,-6,-7,14,0,0,0,0,0,0,FALSE
Player State114,-6,-7,14,0,0,0,0,0,0,FALSE
Player State115,-6,-7,14,0,0,0,0,0,0,FALSE
Player State116,-6,-7,14,0,0,0,0,0,0,FALSE
Player State117,-6,-7,14,0,0,0,0,0,0,FALSE
Player State118,-6,-7,14,0,0,0,0,0,0,FALSE
Player State119,-6,-7,14,0,0,0,0,0,0,FALSE
Player State120,-6,-7,14,0,0,0,0,0,0,FALSE
Player State121,-6,-7,14,0,0,0,0,0,0,FALSE
Player State122,-6,-7,14,0,0,0,0,0,0,FALSE
Player State123,-6,-7,14,0,0,0,0,0,0,FALSE
Player State124,-6,-7,14,0,0,0,0,0,0,FALSE
Player State125,-6,-7,14,0,0,0,0,0,0,FALSE
Player State126,-6,-7,14,0,0,0,0,0,0,FALSE
Player State127,-6,-7,14,0,0,0,0,0,0,FALSE
Player State128,-6,-7,14,0,0,0,0,0,0,FALSE
Player State129,-6,-7,14,0,0,0,0,0,0,FALSE
Player State130,-6,-7,14,0,0,0,0,0,0,FALSE
Player State131,-6,-7,14,0,0,0,0,0,0,FALSE
Player State132,-6,-7,14,0,0,0,0,0,0,FALSE
Player State133,-6,-7,14,0,0,0,0,0,0,FALSE
Player State134,-6,-7,14,0,0,0,0,0,0,FALSE
Player State135,-6,-7,14,0,0,0,0,0,0,FALSE
Player State136,-6,-7,14,0,0,0,0,0,0,FALSE
Player State137,-6,-7,14,0,0,0,0,0,0,FALSE
Player State138,-6,-7,14,0,0,0,0,0,0,FALSE
Player State139,-6,-7,14,0,0,0,0,0,0,FALSE
Player State140,-6,-7,14,0,0,0,0,0,0,FALSE
Player State141,-6,-7,14,0,0,0,0,0,0,FALSE
Player State142,-6,-7,14,0,0,0,0,0,0,FALSE
Player State143,-6,-7,14,0,0,0,0,0,0,FALSE
Player State144,-6,-7,14,0,0,0,0,0,0,FALSE
Player State145,-6,-7,14,0,0,0,0,0,0,FALSE
Player State146,-6,-7,14,0,0,0,0,0,0,FALSE
Player State147,-6,-7,14,0,0,0,0,0,0,FALSE
Player State148,-6,-7,14,0,0,0,0,0,0,FALSE
Player State149,-6,-7,14,0,0,0,0,0,0,FALSE
Player State150,-6,-7,14,0,0,0,0,0,0,FALSE
Player State151,-6,-7,14,0,0,0,0,0,0,FALSE
Player State152,-6,-7,14,0,0,0,0,0,0,FALSE
Player State153,-6,-7,14,0,0,0,0,0,0,FALSE
Player State154,-6,-7,14,0,0,0,0,0,0,FALSE
Player State155,-6,-7,14,0,0,0,0,0,0,FALSE
Player State156,-6,-7,14,0,0,0,0,0,0,FALSE
Player State157,-6,-7,14,0,0,0,0,0,0,FALSE
Player State158,-6,-7,14,0,0,0,0,0,0,FALSE
Player State159,-6,-7,14,0,0,0,0,0,0,FALSE
Player State160,-6,-7,14,0,0,0,0,0,0,FALSE
Player State161,-6,-7,14,0,0,0,0,0,0,FALSE
Player State162,-6,-7,14,0,0,0,0,0,0,FALSE
Player State163,-6,-7,14,0,0,0,0,0,0,FALSE
Player State164,-6,-7,14,0,0,0,0,0,0,FALSE
Player State165,-6,-7,14,0,0,0,0,0,0,FALSE
Player State166,-6,-7,14,0,0,0,0,0,0,FALSE
Player State167,-6,-7,14,0,0,0,0,0,0,FALSE
Player State168,-6,-7,14,0,0,0,0,0,0,FALSE
Player State169,-6,-7,14,0,0,0,0,0,0,FALSE
Player State170,-6,-7,14,0,0,0,0,0,0,FALSE
Player State171,-6,-7,14,0,0,0,0,0,0,FALSE
Player State172,-6,-7,14,0,0,0,0,0,0,FALSE
Player State173,-6,-7,14,0,0,0,0,0,0,FALSE
Player State174,-6,-7,14,0,0,0,0,0,0,FALSE
Player State175,-6,-7,14,0,0,0,0,0,0,FALSE
Player State176,-6,-7,14,0,0,0,0,0,0,FALSE
Player State177,-6,-7,14,0,0,0,0,0,0,FALSE
Player State178,-6,-7,14,0,0,0,0,0,0,FALSE
Player State179,-6,-7,14,0,0,0,0,0,0,FALSE
Player State180,-6,-7,14,0,0,0,0,0,0,FALSE
Player State181,-6,-7,14,0,0,0,0,0,0,FALSE
Player State182,-6,-7,14,0,0,0,0,0,0,FALSE
Player State183,-6,-7,14,0,0,0,0,0,0,FALSE
Player State184,-6,-7,14,0,0,0,0,0,0,FALSE
Player State185,-6,-7,14,0,0,0,0,0,0,FALSE
Player State186,-6,-7,14,0,0,0,0,0,0,FALSE
Player State187,-6,-7,14,0,0,0,0,0,0,FALSE
Player State188,-6,-7,14,0,0,0,0,0,0,FALSE
Player State189,-6,-7,14,0,0,0,0,0,0,FALSE
Player State190,-6,-7,14,0,0,0,0,0,0,FALSE
Player State191,-6,-7,14,0,0,0,0,0,0,FALSE
Player State192,-6,-7,14,0,0,0,0,0,0,FALSE
Player State193,-6,-7,14,0,0,0,0,0,0,FALSE
Player State194,-6,-7,14,0,0,0,0,0,0,FALSE
Player State195,-6,-7,14,0,0,0,0,0,0,FALSE
Player State196,-6,-7,14,0,0,0,0,0,0,FALSE
Player State197,-6,-7,14,0,0,0,0,0,0,FALSE
Player State198,-6,-7,14,0,0,0,0,0,0,FALSE
Player State199,-6,-7,14,0,0,0,0,0,0,FALSE
Player State200,-6,-7,14,0,0,0,0,0,0,FALSE
Player State201,-6,-7,14,0,0,0,0,0,0,FALSE
Player State202,-6,-7,14,0,0,0,0,0,0,FALSE
Player State203,-6,-7,14,0,0,0,0,0,0,FALSE
Player State204,-6,-7,14,0,0,0,0,0,0,FALSE
Player State205,-6,-7,14,0,0,0,0,0,0,FALSE
Player State206,-6,-7,14,0,0,0,0,0,0,FALSE
Player State207,-6,-7,14,0,0,0,0,0,0,FALSE
Player State208,-6,-7,14,0,0,0,0,0,0,FALSE
Player State209,-6,-7,14,0,0,0,0,0,0,FALSE
Player State210,-6,-7,14,0,0,0,0,0,0,FALSE
Player State211,-6,-7,14,0,0,0,0,0,0,FALSE
Player State212,-6,-7,14,0,0,0,0,0,0,FALSE
Player State213,-6,-7,14,0,0,0,0,0,0,FALSE
Player State214,-6,-7,14,0,0,0,0,0,0,FALSE
Player State215,-6,-7,14,0,0,0,0,0,0,FALSE
Player State216,-6,-7,14,0,0,0,0,0,0,FALSE
Player State217,-6,-7,14,0,0,0,0,0,0,FALSE
Player State218,-6,-7,14,0,0,0,0,0,0,FALSE
Player State219,-6,-7,14,0,0,0,0,0,0,FALSE
Player State220,-6,-7,14,0,0,0,0,0,0,FALSE
Player State221,-6,-7,14,0,0,0,0,0,0,FALSE
Player State222,-6,-7,14,0,0,0,0,0,0,FALSE
Player State223,-6,-7,14,0,0,0,0,0,0,FALSE
Player State224,-6,-7,14,0,0,0,0,0,0,FALSE
Player State225,-6,-7,14,0,0,0,0,0,0,FALSE
Player State226,-6,-7,14,0,0,0,0,0,0,FALSE
