---,X,Y,Z,VX,VY,VZ,pitch,yaw,roll,bisBridgeOut
Player State109,"-15","-5","13","0","0","0","0","0","0","False"
Player State110,"-15","-5","13","0","0","0","0","0","0","False"
Player State111,"-15","-5","13","0","0","0","0","0","0","False"
Player State112,"-15","-5","13","0","0","0","0","0","0","False"
Player State113,"-15","-5","13","0","0","0","0","0","0","False"
Player State114,"-15","-5","13","0","0","0","0","0","0","False"
Player State115,"-15","-5","13","0","0","0","0","0","0","False"
Player State116,"-15","-5","13","0","0","0","0","0","0","False"
Player State117,"-15","-5","13","0","0","0","0","0","0","False"
Player State118,"-15","-5","13","0","0","0","0","0","0","False"
Player State119,"-15","-5","13","0","0","0","0","0","0","False"
Player State120,"-15","-5","13","0","0","0","0","0","0","False"
Player State121,"-15","-5","13","0","0","0","0","0","0","False"
Player State122,"-15","-5","13","0","0","0","0","0","0","False"
Player State123,"-15","-5","13","0","0","0","0","0","0","False"
Player State124,"-15","-5","13","0","0","0","0","0","0","False"
Player State125,"-15","-5","13","0","0","0","0","0","0","False"
Player State126,"-15","-5","13","0","0","0","0","0","0","False"
Player State127,"-15","-5","13","0","0","0","0","0","0","False"
Player State128,"-15","-5","13","0","0","0","0","0","0","False"
Player State129,"-15","-5","13","0","0","0","0","0","0","False"
Player State130,"-15","-5","13","0","0","0","0","0","0","False"
Player State131,"-15","-5","13","0","0","0","0","0","0","False"
Player State132,"-15","-5","13","0","0","0","0","0","0","False"
Player State133,"-15","-5","13","0","0","0","0","0","0","False"
Player State134,"-15","-5","13","0","0","0","0","0","0","False"
Player State135,"-15","-5","13","0","0","0","0","0","0","False"
Player State136,"-15","-5","13","0","0","0","0","0","0","False"
Player State137,"-15","-5","13","0","0","0","0","0","0","False"
Player State138,"-15","-5","13","0","0","0","0","0","0","False"
Player State139,"-15","-5","13","0","0","0","0","0","0","False"
Player State140,"-15","-5","13","0","0","0","0","0","0","False"
Player State141,"-15","-5","13","0","0","0","0","0","0","False"
Player State142,"-15","-5","13","0","0","0","0","0","0","False"
Player State143,"-15","-5","13","0","0","0","0","0","0","False"
Player State144,"-15","-5","13","0","0","0","0","0","0","False"
Player State145,"-15","-5","13","0","0","0","0","0","0","False"
Player State146,"-15","-5","13","0","0","0","0","0","0","False"
Player State147,"-15","-5","13","0","0","0","0","0","0","False"
Player State148,"-15","-5","13","0","0","0","0","0","0","False"
Player State149,"-15","-5","13","0","0","0","0","0","0","False"
Player State150,"-15","-5","13","0","0","0","0","0","0","False"
Player State151,"-15","-5","13","0","0","0","0","0","0","False"
Player State152,"-15","-5","13","0","0","0","0","0","0","False"
Player State153,"-15","-5","13","0","0","0","0","0","0","False"
Player State154,"-15","-5","13","0","0","0","0","0","0","False"
Player State155,"-15","-5","13","0","0","0","0","0","0","False"
Player State156,"-15","-5","13","0","0","0","0","0","0","False"
Player State157,"-15","-5","13","0","0","0","0","0","0","False"
Player State158,"-15","-5","13","0","0","0","0","0","0","False"
Player State159,"-15","-5","13","0","0","0","0","0","0","False"
Player State160,"-15","-5","13","0","0","0","0","0","0","False"
Player State161,"-15","-5","13","0","0","0","0","0","0","False"
Player State162,"-15","-5","13","0","0","0","0","0","0","False"
Player State163,"-15","-5","13","0","0","0","0","0","0","False"
Player State164,"-15","-5","13","0","0","0","0","0","0","False"
Player State165,"-15","-5","13","0","0","0","0","0","0","False"
Player State166,"-15","-5","13","0","0","0","0","0","0","False"
Player State167,"-15","-5","13","0","0","0","0","0","0","False"
Player State168,"-15","-5","13","0","0","0","0","0","0","False"
Player State169,"-15","-5","13","0","0","0","0","0","0","False"
Player State170,"-15","-5","13","0","0","0","0","0","0","False"
Player State171,"-15","-5","13","0","0","0","0","0","0","False"
Player State172,"-15","-5","13","0","0","0","0","0","0","False"
Player State173,"-15","-5","13","0","0","0","0","0","0","False"
Player State174,"-15","-5","13","0","0","0","0","0","0","False"
Player State175,"-15","-5","13","0","0","0","0","0","0","False"
Player State176,"-15","-5","13","0","0","0","0","0","0","False"
Player State177,"-15","-5","13","0","0","0","0","0","0","False"
Player State178,"-15","-5","13","0","0","0","0","0","0","False"
Player State179,"-15","-5","13","0","0","0","0","0","0","False"
Player State180,"-15","-5","13","0","0","0","0","0","0","False"
Player State181,"-15","-5","13","0","0","0","0","0","0","False"
Player State182,"-15","-5","13","0","0","0","0","0","0","False"
Player State183,"-15","-5","13","0","0","0","0","0","0","False"
Player State184,"-15","-5","13","0","0","0","0","0","0","False"
Player State185,"-15","-5","13","0","0","0","0","0","0","False"
Player State186,"-15","-5","13","0","0","0","0","0","0","False"
Player State187,"-15","-5","13","0","0","0","0","0","0","False"
Player State188,"-15","-5","13","0","0","0","0","0","0","False"
Player State189,"-15","-5","13","0","0","0","0","0","0","False"
Player State190,"-15","-5","13","0","0","0","0","0","0","False"
Player State191,"-15","-5","13","0","0","0","0","0","0","False"
Player State192,"-15","-5","13","0","0","0","0","0","0","False"
Player State193,"-15","-5","13","0","0","0","0","0","0","False"
Player State194,"-15","-5","13","0","0","0","0","0","0","False"
Player State195,"-15","-5","13","0","0","0","0","0","0","False"
Player State196,"-15","-5","13","0","0","0","0","0","0","False"
Player State197,"-15","-5","13","0","0","0","0","0","0","False"
Player State198,"-15","-5","13","0","0","0","0","0","0","False"
Player State199,"-15","-5","13","0","0","0","0","0","0","False"
Player State200,"-15","-5","13","0","0","0","0","0","0","False"
Player State201,"-15","-5","13","0","0","0","0","0","0","False"
Player State202,"-15","-5","13","0","0","0","0","0","0","False"
Player State203,"-15","-5","13","0","0","0","0","0","0","False"
Player State204,"-15","-5","13","0","0","0","0","0","0","False"
Player State205,"-15","-5","13","0","0","0","0","0","0","False"
Player State206,"-15","-5","13","0","0","0","0","0","0","False"
Player State207,"-15","-5","13","0","0","0","0","0","0","False"
Player State208,"-15","-5","13","0","0","0","0","0","0","False"
Player State209,"-15","-5","13","0","0","0","0","0","0","False"
Player State210,"-15","-5","13","0","0","0","0","0","0","False"
Player State211,"-15","-5","13","0","0","0","0","0","0","False"
Player State212,"-15","-5","13","0","0","0","0","0","0","False"
Player State213,"-15","-5","13","0","0","0","0","0","0","False"
Player State214,"-15","-5","13","0","0","0","0","0","0","False"
Player State215,"-15","-5","13","0","0","0","0","0","0","False"
Player State216,"-15","-5","13","0","0","0","0","0","0","False"
Player State217,"-15","-5","13","0","0","0","0","0","0","False"
Player State218,"-15","-5","13","0","0","0","0","0","0","False"
Player State219,"-15","-5","13","0","0","0","0","0","0","False"
Player State220,"-15","-5","13","0","0","0","0","0","0","False"
Player State221,"-15","-5","13","0","0","0","0","0","0","False"
Player State222,"-15","-5","13","0","0","0","0","0","0","False"
Player State223,"-15","-5","13","0","0","0","0","0","0","False"
Player State224,"-15","-5","13","0","0","0","0","0","0","False"
Player State225,"-15","-5","13","0","0","0","0","0","0","False"
Player State226,"-15","-5","13","0","0","0","0","0","0","False"
Player State227,"-15","-5","13","0","0","0","0","0","0","False"
Player State228,"-15","-5","13","0","0","0","0","0","0","False"
Player State229,"-15","-5","13","0","0","0","0","0","0","False"
Player State230,"-15","-5","13","0","0","0","0","0","0","False"
Player State231,"-15","-5","13","0","0","0","0","0","0","False"
Player State232,"-15","-5","13","0","0","0","0","0","0","False"
Player State233,"-15","-5","13","0","0","0","0","0","0","False"
Player State234,"-15","-5","13","0","0","0","0","0","0","False"
Player State235,"-15","-5","13","0","0","0","0","0","0","False"
Player State236,"-15","-5","13","0","0","0","0","0","0","False"
Player State237,"-15","-5","13","0","0","0","0","0","0","False"
Player State238,"-15","-5","13","0","0","0","0","0","0","False"
Player State239,"-15","-5","13","0","0","0","0","0","0","False"
Player State240,"-15","-5","13","0","0","0","0","0","0","False"
Player State241,"-15","-5","13","0","0","0","0","0","0","False"
Player State242,"-15","-5","13","0","0","0","0","0","0","False"
Player State243,"-15","-5","13","0","0","0","0","0","0","False"
Player State244,"-15","-5","13","0","0","0","0","0","0","False"
Player State245,"-15","-5","13","0","0","0","0","0","0","False"
Player State246,"-15","-5","13","0","0","0","0","0","0","False"
Player State247,"-15","-5","13","0","0","0","0","0","0","False"
Player State248,"-15","-5","13","0","0","0","0","0","0","False"
Player State249,"-15","-5","13","0","0","0","0","0","0","False"
Player State250,"-15","-5","13","0","0","0","0","0","0","False"
Player State251,"-15","-5","13","0","0","0","0","0","0","False"
Player State252,"-15","-5","13","0","0","0","0","0","0","False"
Player State253,"-15","-5","13","0","0","0","0","0","0","False"
Player State254,"-15","-5","13","0","0","0","0","0","0","False"
Player State255,"-15","-5","13","0","0","0","0","0","0","False"
Player State256,"-15","-5","13","0","0","0","0","0","0","False"
Player State257,"-15","-5","13","0","0","0","0","0","0","False"
Player State258,"-15","-5","13","0","0","0","0","0","0","False"
Player State259,"-15","-5","13","0","0","0","0","0","0","False"
Player State260,"-15","-5","13","0","0","0","0","0","0","False"
Player State261,"-15","-5","13","0","0","0","0","0","0","False"
Player State262,"-15","-5","13","0","0","0","0","0","0","False"
Player State263,"-15","-5","13","0","0","0","0","0","0","False"
Player State264,"-15","-5","13","0","0","0","0","0","0","False"
Player State265,"-15","-5","13","0","0","0","0","0","0","False"
Player State266,"-15","-5","13","0","0","0","0","0","0","False"
Player State267,"-15","-5","13","0","0","0","0","0","0","False"
Player State268,"-15","-5","13","0","0","0","0","0","0","False"
Player State269,"-15","-5","13","0","0","0","0","0","0","False"
Player State270,"-15","-5","13","0","0","0","0","0","0","False"
Player State271,"-15","-5","13","0","0","0","0","0","0","False"
Player State272,"-15","-5","13","0","0","0","0","0","0","False"
Player State273,"-15","-5","13","0","0","0","0","0","0","False"
Player State274,"-15","-5","13","0","0","0","0","0","0","False"
Player State275,"-15","-5","13","0","0","0","0","0","0","False"
Player State276,"-15","-5","13","0","0","0","0","0","0","False"
Player State277,"-15","-5","13","0","0","0","0","0","0","False"
Player State278,"-15","-5","13","0","0","0","0","0","0","False"
Player State279,"-15","-5","13","0","0","0","0","0","0","False"
Player State280,"-15","-5","13","0","0","0","0","0","0","False"
Player State281,"-15","-5","13","0","0","0","0","0","0","False"
Player State282,"-15","-5","13","0","0","0","0","0","0","False"
Player State283,"-15","-5","13","0","0","0","0","0","0","False"
Player State284,"-15","-5","13","0","0","0","0","0","0","False"
Player State285,"-15","-5","13","0","0","0","0","0","0","False"
Player State286,"-15","-5","13","0","0","0","0","0","0","False"
Player State287,"-15","-5","13","0","0","0","0","0","0","False"
Player State288,"-15","-5","13","0","0","0","0","0","0","False"
Player State289,"-15","-5","13","0","0","0","0","0","0","False"
Player State290,"-15","-5","13","0","0","0","0","0","0","False"
Player State291,"-15","-5","13","0","0","0","0","0","0","False"
Player State292,"-15","-5","13","0","0","0","0","0","0","False"
Player State293,"-15","-5","13","0","0","0","0","0","0","False"
Player State294,"-15","-5","13","0","0","0","0","0","0","False"
Player State295,"-15","-5","13","0","0","0","0","0","0","False"
Player State296,"-15","-5","13","0","0","0","0","0","0","False"
Player State297,"-15","-5","13","0","0","0","0","0","0","False"
Player State298,"-15","-5","13","0","0","0","0","0","0","False"
Player State299,"-15","-5","13","0","0","0","0","0","0","False"
Player State300,"-15","-5","13","0","0","0","0","0","0","False"
Player State301,"-15","-5","13","0","0","0","0","0","0","False"
Player State302,"-15","-5","13","0","0","0","0","0","0","False"
Player State303,"-15","-5","13","0","0","0","0","0","0","False"
Player State304,"-15","-5","13","0","0","0","0","0","0","False"
Player State305,"-15","-5","13","0","0","0","0","0","0","False"
Player State306,"-15","-5","13","0","0","0","0","0","0","False"
Player State307,"-15","-5","13","0","0","0","0","0","0","False"
Player State308,"-15","-5","13","0","0","0","0","0","0","False"
Player State309,"-15","-5","13","0","0","0","0","0","0","False"
Player State310,"-15","-5","13","0","0","0","0","0","0","False"
Player State311,"-15","-5","13","0","0","0","0","0","0","False"
Player State312,"-15","-5","13","0","0","0","0","0","0","False"
Player State313,"-15","-5","13","0","0","0","0","0","0","False"
Player State314,"-15","-5","13","0","0","0","0","0","0","False"
Player State315,"-15","-5","13","0","0","0","0","0","0","False"
Player State316,"-15","-5","13","0","0","0","0","0","0","False"
Player State317,"-15","-5","13","0","0","0","0","0","0","False"
Player State318,"-15","-5","13","0","0","0","0","0","0","False"
Player State319,"-15","-5","13","0","0","0","0","0","0","False"
Player State320,"-15","-5","13","0","0","0","0","0","0","False"
Player State321,"-15","-5","13","0","0","0","0","0","0","False"
Player State322,"-15","-5","13","0","0","0","0","0","0","False"
Player State323,"-15","-5","13","0","0","0","0","0","0","False"
Player State324,"-15","-5","13","0","0","0","0","0","0","False"
Player State325,"-15","-5","13","0","0","0","0","0","0","False"
Player State326,"-15","-5","13","0","0","0","0","0","0","False"
Player State327,"-15","-5","13","0","0","0","0","0","0","False"
Player State328,"-15","-5","13","0","0","0","0","0","0","False"
Player State329,"-15","-5","13","0","0","0","0","0","0","False"
Player State330,"-15","-5","13","0","0","0","0","0","0","False"
Player State331,"-15","-5","13","0","0","0","0","0","0","False"
